name,country
Colo-Colo,Chile
Universidad Católica,Chile
Universidad de Chile,Chile
Ñublense,Chile
Curico Unido,Chile
Palestino,Chile
Antofagasta,Chile
Huachipato,Chile
Everton de Viña del Mar,Chile
Uníon Española,Chile
