name,country
Alianza Lima,Peru
Universitario,Peru
Sporting Cristal,Peru
Melgar,Peru
Cienciano,Peru
Club Atlético Grau,Peru
Binacional,Peru
Carlos Stein,Peru
Sport Boys,Peru
Ayacucho,Peru
