name,country
Atlético Nacional,Colombia
Millonarios,Colombia
América de Cali,Colombia
Júnior Fútbol Club,Colombia
Deportivo Cali,Colombia
Independiente Santa Fe,Colombia
Deportes Tolima,Colombia
Unión Magdalena,Colombia
Bucaramanga,Colombia
Once Caldas,Colombia
Independiente Medellin,Colombia
