name,country
LDU Quito,Ecuador
Barcelona Sporting Club,Ecuador
Emelec,Ecuador
Independiente del Valle,Ecuador
Aucas,Ecuador
Universitario,Ecuador
Cuenca,Ecuador
Maracá,Ecuador
Universidad Católica,Ecuador
Delfin,Ecuador
