name,country
Bolivar,Bolivia
The Strongest,Bolivia
Oriente Petrolero,Bolivia
Always Ready,Bolivia
Blooming,Bolivia
Real Tomayapo,Bolivia
Nacional Potosí,Bolivia
Jorge Wilstermann,Bolivia
Royal Pari,Bolivia
Independiente Petrolero,Bolivia
