name,country
Nacional,Uruguay
Peñarol,Uruguay
Líverpool,Uruguay
Boston River,Uruguay
Defensor Sporting Club,Uruguay
Danubio,Uruguay
Cerro Largo,Uruguay
Montevideo City,Uruguay
River Plate,Uruguay
Montevideo Wanderes,Uruguay
Rentistas,Uruguay
Centro Atlético Fenix,Uruguay
Albion,Uruguay
