Deportes Concepción,Chile,48
Paysandu,Brasil,48
Deportivo Pasto,Colombia,47.4
Guabirá,Bolivia,45.5
Carabobo FC,Venezuela,45
UTC Cajamarca,Perú,43.5
Brasília,Brasil,42
América de Quito,Ecuador,40
Deportivo Municipal,Perú,40
Talleres de Córdoba,Argentina,38.5
León de Huánuco,Perú,36.5
12 de Octubre,Paraguay,32
9 de Octubre,Ecuador,32
Club Deportivo Portugués,Venezuela,32
Necaxa,México,32
Valdéz,Ecuador,32
Valencia Fútbol Club,Venezuela,32
Paraná,Brasil,28
Cerro Largo,Uruguay,28
Club Aurora,Bolivia,25.3
Alfonso Ugarte,Perú,24
Boyacá Chicó,Colombia,24
Pepeganga,Venezuela,24
Quilmes,Argentina,24
Racing Club (Montevideo),Uruguay,24
Santo André,Brasil,24
Aucas,Ecuador,24
Cusco,Perú,24
Plaza Colonia,Uruguay,24
Boston River,Uruguay,22.5
Atlético Goianiense,Brasil,21.6
Unión San Felipe,Chile,20.8
Náutico,Brasil,20.5
31 de Octubre,Bolivia,20
Bucaramanga,Colombia,20
Chaco Petrolero,Bolivia,20
Defensor Arica,Perú,20
Juventude,Brasil,20
Magallanes,Chile,20
Paulista,Brasil,20
Unión Magdalena,Colombia,20
Club General Díaz,Paraguay,18
Deportivo Canarias,Venezuela,16
Espoli,Ecuador,16
Lara FC,Venezuela,16
Rocha FC,Uruguay,16
Técnico Universitario,Ecuador,16
Puebla,México,15
Aragua FC,Venezuela,15
Atlético Grau,Perú,15
Fortaleza EC,Brasil,15
Llaneros de Guanare,Venezuela,15
River Plate (Asunción),Paraguay,15
Antofagasta,Chile,13.5
Ayacucho,Perú,13.5
Deportivo Santaní,Paraguay,13.5
Independiente FBC,Paraguay,13.5
Mushuc Runa,Ecuador,13.5
Colegio San Agustín,Perú,12
Rangers de Talca,Chile,12
Deportes Temuco,Chile,12
Figueirense,Brasil,12
Jaguares de Córdoba,Colombia,12
Rampla Juniors,Uruguay,12
Sport Rosario,Perú,12
Atlético Venezuela,Venezuela,10.5
Club Petrolero,Bolivia,10.5
Comerciantes Unidos,Perú,10.5
Estudiantes de Caracas,Venezuela,10.5
Fuerza Amarilla,Ecuador,10.5
Patriotas Boyacá,Colombia,10.5
Unión Comercio,Perú,10.5
Cuiabá,Brasil,9
Bangu,Brasil,8
Coronel Bolognesi,Perú,8
Cortuluá,Colombia,8
Universitario de La Paz,Bolivia,8
Joinville,Brasil,7.5
Juventud de Las Piedras,Uruguay,7.5
Avaí,Brasil,7.2
D.C. United,Estados Unidos,7.2
Rentistas,Uruguay,6
El Tanque Sisley,Uruguay,4.5
Portuguesa,Brasil,4.5
Atlético Chalaco,Perú,4
Atlético Torino,Perú,4
Deportivo Filanbanco,Ecuador,4
Litoral,Bolivia,4
Envigado,Colombia,3
Tacuary,Paraguay,3
Universidad San Martín,Perú,3
Alianza Atlético,Perú,2.4
Sport Ancash,Perú,2.4
Ceará,Brasil,1.5
Yaracuyanos,Venezuela,1.5
Alajuelense,Costa Rica,0
Atlético Huila,Colombia,0
Central Español,Uruguay,0
Estudiantes Tecos,México,0
Everest Guayaquil,Ecuador,0
Grêmio Barueri,Brasil,0
La Paz FC,Bolivia,0
Motagua,Honduras,0
?ublense,Chile,0
Provincial Osorno,Chile,0
